,DataSet,TotalFeat,Range,Round 1,Round 2,Round 3,Average
16,Computers,767,16,0.8393895348837209,0.8328488372093024,0.8306686046511629,0.8343023255813954
762,Computers,767,762,0.8372093023255814,0.8306686046511629,0.8386627906976745,0.835513565891473
230,Computers,767,230,0.8343023255813954,0.8335755813953488,0.8444767441860465,0.8374515503875969
458,Computers,767,458,0.8343023255813954,0.8481104651162791,0.8313953488372093,0.8379360465116279
424,Computers,767,424,0.8386627906976745,0.8350290697674418,0.8401162790697675,0.8379360465116279
581,Computers,767,581,0.84375,0.8401162790697675,0.8313953488372093,0.8384205426356589
658,Computers,767,658,0.8328488372093024,0.8386627906976745,0.8444767441860465,0.8386627906976744
318,Computers,767,318,0.8364825581395349,0.8459302325581395,0.8343023255813954,0.8389050387596898
635,Computers,767,635,0.8335755813953488,0.8292151162790697,0.8539244186046513,0.8389050387596898
320,Computers,767,320,0.8372093023255814,0.8401162790697675,0.8393895348837209,0.83890503875969
557,Computers,767,557,0.8386627906976745,0.8393895348837209,0.8393895348837209,0.8391472868217055
638,Computers,767,638,0.8408430232558138,0.8364825581395349,0.8401162790697675,0.8391472868217055
344,Computers,767,344,0.8459302325581395,0.8313953488372093,0.8408430232558138,0.8393895348837209
355,Computers,767,355,0.8343023255813954,0.8393895348837209,0.8444767441860465,0.8393895348837209
690,Computers,767,690,0.8481104651162791,0.8379360465116279,0.8321220930232557,0.8393895348837209
190,Computers,767,190,0.8321220930232557,0.8372093023255814,0.8495639534883721,0.8396317829457365
217,Computers,767,217,0.8473837209302325,0.845203488372093,0.8263081395348837,0.8396317829457365
751,Computers,767,751,0.8408430232558138,0.8430232558139534,0.8350290697674418,0.8396317829457365
234,Computers,767,234,0.8488372093023255,0.8372093023255814,0.8328488372093024,0.8396317829457365
471,Computers,767,471,0.8335755813953488,0.845203488372093,0.8401162790697675,0.8396317829457365
93,Computers,767,93,0.842296511627907,0.842296511627907,0.8350290697674418,0.8398740310077519
746,Computers,767,746,0.8408430232558138,0.8335755813953488,0.845203488372093,0.8398740310077519
401,Computers,767,401,0.8473837209302325,0.8372093023255814,0.8350290697674418,0.8398740310077519
743,Computers,767,743,0.8364825581395349,0.846656976744186,0.8372093023255814,0.8401162790697675
433,Computers,767,433,0.8284883720930233,0.8524709302325582,0.8401162790697675,0.8403585271317829
85,Computers,767,85,0.8393895348837209,0.8379360465116279,0.8444767441860465,0.8406007751937984
423,Computers,767,423,0.8343023255813954,0.8415697674418605,0.8459302325581395,0.8406007751937984
393,Computers,767,393,0.8386627906976745,0.8444767441860465,0.8386627906976745,0.8406007751937986
300,Computers,767,300,0.8531976744186046,0.8350290697674418,0.8343023255813954,0.8408430232558138
446,Computers,767,446,0.8444767441860465,0.8335755813953488,0.8444767441860465,0.8408430232558138
503,Computers,767,503,0.8393895348837209,0.8488372093023255,0.8343023255813954,0.8408430232558138
494,Computers,767,494,0.8386627906976745,0.8459302325581395,0.8379360465116279,0.8408430232558141
