,DataSet,TotalFeat,Range,Round 1,Round 2,Round 3,Average
2590,CS,6805,2590,0.8991275899672846,0.9029443838604144,0.9018538713195202,0.9013086150490731
3543,CS,6805,3543,0.9023991275899673,0.9051254089422028,0.8964013086150491,0.9013086150490731
785,CS,6805,785,0.9045801526717557,0.8964013086150491,0.9029443838604144,0.9013086150490731
4905,CS,6805,4905,0.9045801526717557,0.9002181025081788,0.8996728462377317,0.901490367139222
5005,CS,6805,5005,0.9002181025081788,0.9045801526717557,0.9002181025081788,0.9016721192293712
5282,CS,6805,5282,0.9083969465648855,0.8996728462377317,0.8969465648854962,0.9016721192293712
122,CS,6805,122,0.9056706652126499,0.9018538713195202,0.8980370774263904,0.9018538713195202
4427,CS,6805,4427,0.8985823336968375,0.9073064340239911,0.9002181025081788,0.902035623409669
2098,CS,6805,2098,0.8996728462377317,0.9029443838604144,0.9040348964013086,0.9022173754998182
5366,CS,6805,5366,0.9034896401308615,0.9056706652126499,0.8980370774263904,0.9023991275899673
2270,CS,6805,2270,0.9045801526717557,0.9013086150490731,0.9013086150490731,0.9023991275899673
1502,CS,6805,1502,0.9034896401308615,0.9045801526717557,0.8996728462377317,0.9025808796801164
1478,CS,6805,1478,0.9018538713195202,0.9045801526717557,0.9018538713195202,0.9027626317702654
5505,CS,6805,5505,0.8953107960741549,0.9111232279171211,0.9018538713195202,0.9027626317702654
2758,CS,6805,2758,0.8991275899672846,0.9051254089422028,0.9040348964013086,0.9027626317702654
1353,CS,6805,1353,0.8985823336968375,0.9034896401308615,0.906215921483097,0.9027626317702654
5228,CS,6805,5228,0.895856052344602,0.9073064340239911,0.9056706652126499,0.9029443838604143
2549,CS,6805,2549,0.8936750272628134,0.9083969465648855,0.9067611777535441,0.9029443838604143
4125,CS,6805,4125,0.906215921483097,0.9007633587786259,0.9018538713195202,0.9029443838604143
3107,CS,6805,3107,0.9040348964013086,0.9067611777535441,0.8980370774263904,0.9029443838604143
1786,CS,6805,1786,0.9078516902944384,0.906215921483097,0.8947655398037078,0.9029443838604143
1447,CS,6805,1447,0.9040348964013086,0.9018538713195202,0.9029443838604144,0.9029443838604144
4528,CS,6805,4528,0.8996728462377317,0.9045801526717557,0.9045801526717557,0.9029443838604144
1557,CS,6805,1557,0.9002181025081788,0.9029443838604144,0.9056706652126499,0.9029443838604144
2097,CS,6805,2097,0.9040348964013086,0.8991275899672846,0.906215921483097,0.9031261359505635
1530,CS,6805,1530,0.8996728462377317,0.9078516902944384,0.9018538713195202,0.9031261359505635
6152,CS,6805,6152,0.9040348964013086,0.9029443838604144,0.9023991275899673,0.9031261359505635
4556,CS,6805,4556,0.9078516902944384,0.9007633587786259,0.9007633587786259,0.9031261359505635
6026,CS,6805,6026,0.9029443838604144,0.9067611777535441,0.8996728462377317,0.9031261359505635
1989,CS,6805,1989,0.9007633587786259,0.9029443838604144,0.9056706652126499,0.9031261359505635
376,CS,6805,376,0.9007633587786259,0.9051254089422028,0.9040348964013086,0.9033078880407124
2366,CS,6805,2366,0.9018538713195202,0.9073064340239911,0.9007633587786259,0.9033078880407124
6347,CS,6805,6347,0.9002181025081788,0.9045801526717557,0.9051254089422028,0.9033078880407124
6697,CS,6805,6697,0.9040348964013086,0.9018538713195202,0.9040348964013086,0.9033078880407125
204,CS,6805,204,0.9013086150490731,0.9013086150490731,0.9073064340239911,0.9033078880407125
700,CS,6805,700,0.9056706652126499,0.8991275899672846,0.9056706652126499,0.9034896401308615
1784,CS,6805,1784,0.9083969465648855,0.9018538713195202,0.9002181025081788,0.9034896401308615
5041,CS,6805,5041,0.9067611777535441,0.8996728462377317,0.9040348964013086,0.9034896401308615
2244,CS,6805,2244,0.9018538713195202,0.9083969465648855,0.9002181025081788,0.9034896401308615
612,CS,6805,612,0.9034896401308615,0.9029443838604144,0.9040348964013086,0.9034896401308615
742,CS,6805,742,0.9116684841875682,0.8996728462377317,0.8991275899672846,0.9034896401308615
5818,CS,6805,5818,0.9018538713195202,0.9013086150490731,0.9073064340239911,0.9034896401308615
2512,CS,6805,2512,0.9067611777535441,0.8985823336968375,0.9051254089422028,0.9034896401308615
4361,CS,6805,4361,0.9073064340239911,0.9056706652126499,0.8980370774263904,0.9036713922210104
4066,CS,6805,4066,0.906215921483097,0.8996728462377317,0.9051254089422028,0.9036713922210104
5681,CS,6805,5681,0.8980370774263904,0.9078516902944384,0.9051254089422028,0.9036713922210104
6050,CS,6805,6050,0.9023991275899673,0.9056706652126499,0.9029443838604144,0.9036713922210106
4554,CS,6805,4554,0.9100327153762268,0.8996728462377317,0.9013086150490731,0.9036713922210106
2948,CS,6805,2948,0.9040348964013086,0.9034896401308615,0.9034896401308615,0.9036713922210106
6079,CS,6805,6079,0.9013086150490731,0.9078516902944384,0.9023991275899673,0.9038531443111596
5176,CS,6805,5176,0.9111232279171211,0.8980370774263904,0.9023991275899673,0.9038531443111596
2611,CS,6805,2611,0.8974918211559432,0.9040348964013086,0.9100327153762268,0.9038531443111596
3411,CS,6805,3411,0.9023991275899673,0.9029443838604144,0.906215921483097,0.9038531443111596
4746,CS,6805,4746,0.8974918211559432,0.9045801526717557,0.9094874591057798,0.9038531443111596
5554,CS,6805,5554,0.9045801526717557,0.9045801526717557,0.9023991275899673,0.9038531443111596
5604,CS,6805,5604,0.9045801526717557,0.906215921483097,0.9007633587786259,0.9038531443111596
3108,CS,6805,3108,0.8996728462377317,0.9018538713195202,0.9100327153762268,0.9038531443111596
1389,CS,6805,1389,0.8996728462377317,0.9023991275899673,0.9094874591057798,0.9038531443111596
4924,CS,6805,4924,0.9073064340239911,0.9018538713195202,0.9029443838604144,0.9040348964013085
1917,CS,6805,1917,0.9094874591057798,0.8985823336968375,0.9040348964013086,0.9040348964013086
1639,CS,6805,1639,0.9007633587786259,0.9045801526717557,0.9067611777535441,0.9040348964013086
5923,CS,6805,5923,0.9067611777535441,0.9029443838604144,0.9023991275899673,0.9040348964013086
1394,CS,6805,1394,0.9034896401308615,0.9056706652126499,0.9029443838604144,0.9040348964013086
1503,CS,6805,1503,0.9056706652126499,0.895856052344602,0.910577971646674,0.9040348964013086
