,DataSet,TotalFeat,Range,Round 1,Round 2,Round 3,Average
274,WikiCS,300,274,0.6797608881298036,0.7198975234842016,0.6942783945345858,0.6979789353828636
273,WikiCS,300,273,0.7002561912894961,0.6959863364645602,0.6985482493595218,0.6982635923711927
138,WikiCS,300,138,0.7096498719043552,0.7105038428693423,0.6746370623398804,0.6982635923711927
142,WikiCS,300,142,0.7002561912894961,0.7019641332194705,0.6942783945345858,0.6988329063478508
238,WikiCS,300,238,0.6831767719897524,0.7113578138343296,0.7019641332194705,0.6988329063478508
83,WikiCS,300,83,0.7113578138343296,0.6934244235695987,0.695132365499573,0.6999715343011671
181,WikiCS,300,181,0.703672075149445,0.7002561912894961,0.7002561912894961,0.7013948192428124
130,WikiCS,300,130,0.7019641332194705,0.7019641332194705,0.7019641332194705,0.7019641332194705
254,WikiCS,300,254,0.7053800170794193,0.7053800170794193,0.6968403074295474,0.7025334471961288
26,WikiCS,300,26,0.7113578138343296,0.6959863364645602,0.7002561912894961,0.7025334471961288
192,WikiCS,300,192,0.7070879590093937,0.6908625106746371,0.7105038428693423,0.7028181041844577
179,WikiCS,300,179,0.703672075149445,0.6985482493595218,0.7062339880444065,0.7028181041844577
189,WikiCS,300,189,0.71733561058924,0.7122117847993168,0.6789069171648164,0.7028181041844578
285,WikiCS,300,285,0.7087959009393681,0.6985482493595218,0.7028181041844578,0.7033874181611158
223,WikiCS,300,223,0.71733561058924,0.6865926558497011,0.7062339880444065,0.7033874181611158
61,WikiCS,300,61,0.6959863364645602,0.7002561912894961,0.7147736976942783,0.703672075149445
6,WikiCS,300,6,0.6934244235695987,0.71733561058924,0.7011101622544833,0.7039567321377739
7,WikiCS,300,7,0.707941929974381,0.6789069171648164,0.7250213492741246,0.7039567321377741
43,WikiCS,300,43,0.6865926558497011,0.7019641332194705,0.7233134073441504,0.7039567321377741
103,WikiCS,300,103,0.6857386848847139,0.7156276686592656,0.7113578138343296,0.704241389126103
114,WikiCS,300,114,0.7045260461144321,0.7011101622544833,0.707941929974381,0.7045260461144321
41,WikiCS,300,41,0.713065755764304,0.707941929974381,0.6942783945345858,0.7050953600910903
144,WikiCS,300,144,0.7412467976088813,0.6806148590947908,0.6934244235695987,0.7050953600910903
150,WikiCS,300,150,0.7224594363791632,0.6959863364645602,0.6968403074295474,0.7050953600910903
13,WikiCS,300,13,0.7087959009393681,0.6994022203245089,0.707941929974381,0.7053800170794192
277,WikiCS,300,277,0.6985482493595218,0.6994022203245089,0.7181895815542272,0.7053800170794192
133,WikiCS,300,133,0.7309991460290349,0.7011101622544833,0.6857386848847139,0.7059493310560775
25,WikiCS,300,25,0.6994022203245089,0.6959863364645602,0.7224594363791632,0.7059493310560775
67,WikiCS,300,67,0.71733561058924,0.6900085397096499,0.7113578138343296,0.7062339880444065
55,WikiCS,300,55,0.6925704526046115,0.703672075149445,0.7224594363791632,0.7062339880444065
167,WikiCS,300,167,0.7105038428693423,0.695132365499573,0.7139197267292912,0.7065186450327355
279,WikiCS,300,279,0.6994022203245089,0.7139197267292912,0.7062339880444065,0.7065186450327355
89,WikiCS,300,89,0.7105038428693423,0.6994022203245089,0.7105038428693423,0.7068033020210646
37,WikiCS,300,37,0.707941929974381,0.6976942783945346,0.7147736976942783,0.7068033020210646
152,WikiCS,300,152,0.7062339880444065,0.6857386848847139,0.7292912040990608,0.7070879590093937
121,WikiCS,300,121,0.7045260461144321,0.7019641332194705,0.7147736976942783,0.7070879590093937
91,WikiCS,300,91,0.703672075149445,0.703672075149445,0.7139197267292912,0.7070879590093937
151,WikiCS,300,151,0.7045260461144321,0.71733561058924,0.7002561912894961,0.7073726159977228
186,WikiCS,300,186,0.6925704526046115,0.7053800170794193,0.7241673783091375,0.7073726159977228
236,WikiCS,300,236,0.7181895815542272,0.6865926558497011,0.71733561058924,0.7073726159977228
122,WikiCS,300,122,0.7002561912894961,0.7181895815542272,0.703672075149445,0.7073726159977228
22,WikiCS,300,22,0.713065755764304,0.7002561912894961,0.7087959009393681,0.7073726159977228
146,WikiCS,300,146,0.7164816396242529,0.7105038428693423,0.6959863364645602,0.7076572729860517
4,WikiCS,300,4,0.7122117847993168,0.7181895815542272,0.6925704526046115,0.7076572729860517
227,WikiCS,300,227,0.7139197267292912,0.7028181041844578,0.7062339880444065,0.7076572729860517
24,WikiCS,300,24,0.7147736976942783,0.6900085397096499,0.7190435525192144,0.7079419299743809
140,WikiCS,300,140,0.6959863364645602,0.7190435525192144,0.7096498719043552,0.7082265869627099
34,WikiCS,300,34,0.7053800170794193,0.7113578138343296,0.707941929974381,0.7082265869627099
154,WikiCS,300,154,0.7275832621690861,0.7190435525192144,0.6780529461998293,0.7082265869627099
94,WikiCS,300,94,0.713065755764304,0.71733561058924,0.6942783945345858,0.7082265869627099
249,WikiCS,300,249,0.7062339880444065,0.703672075149445,0.7156276686592656,0.708511243951039
0,WikiCS,300,0,0.7327070879590093,0.6917164816396243,0.7019641332194705,0.708795900939368
292,WikiCS,300,292,0.7002561912894961,0.7258753202391118,0.7002561912894961,0.708795900939368
70,WikiCS,300,70,0.7045260461144321,0.6994022203245089,0.7224594363791632,0.7087959009393682
129,WikiCS,300,129,0.6959863364645602,0.7122117847993168,0.7181895815542272,0.7087959009393682
136,WikiCS,300,136,0.7224594363791632,0.7045260461144321,0.6994022203245089,0.7087959009393682
278,WikiCS,300,278,0.7045260461144321,0.7028181041844578,0.7198975234842016,0.7090805579276971
290,WikiCS,300,290,0.7062339880444065,0.7113578138343296,0.7096498719043552,0.7090805579276971
92,WikiCS,300,92,0.7062339880444065,0.7096498719043552,0.7113578138343296,0.7090805579276971
172,WikiCS,300,172,0.6994022203245089,0.7284372331340735,0.6994022203245089,0.7090805579276971
265,WikiCS,300,265,0.7207514944491888,0.7028181041844578,0.703672075149445,0.7090805579276972
194,WikiCS,300,194,0.6891545687446626,0.7164816396242529,0.721605465414176,0.7090805579276972
169,WikiCS,300,169,0.7139197267292912,0.7096498719043552,0.7045260461144321,0.7093652149160262
32,WikiCS,300,32,0.6985482493595218,0.7105038428693423,0.7190435525192144,0.7093652149160262
231,WikiCS,300,231,0.7122117847993168,0.6985482493595218,0.71733561058924,0.7093652149160262
42,WikiCS,300,42,0.7156276686592656,0.7011101622544833,0.7113578138343296,0.7093652149160262
246,WikiCS,300,246,0.7045260461144321,0.7105038428693423,0.713065755764304,0.7093652149160262
141,WikiCS,300,141,0.7122117847993168,0.721605465414176,0.6942783945345858,0.7093652149160263
267,WikiCS,300,267,0.721605465414176,0.6968403074295474,0.7105038428693423,0.7096498719043552
264,WikiCS,300,264,0.7096498719043552,0.7045260461144321,0.7147736976942783,0.7096498719043552
115,WikiCS,300,115,0.7190435525192144,0.6848847139197267,0.7250213492741246,0.7096498719043552
190,WikiCS,300,190,0.7087959009393681,0.7156276686592656,0.7045260461144321,0.7096498719043552
286,WikiCS,300,286,0.7113578138343296,0.7011101622544833,0.7164816396242529,0.7096498719043552
106,WikiCS,300,106,0.7378309137489325,0.7113578138343296,0.6806148590947908,0.7099345288926843
59,WikiCS,300,59,0.7011101622544833,0.71733561058924,0.7113578138343296,0.7099345288926844
107,WikiCS,300,107,0.7087959009393681,0.7113578138343296,0.7105038428693423,0.7102191858810133
219,WikiCS,300,219,0.7011101622544833,0.7190435525192144,0.7113578138343296,0.7105038428693424
258,WikiCS,300,258,0.7224594363791632,0.7207514944491888,0.6883005977796754,0.7105038428693424
131,WikiCS,300,131,0.7045260461144321,0.7258753202391118,0.7019641332194705,0.7107884998576716
247,WikiCS,300,247,0.7284372331340735,0.7087959009393681,0.695132365499573,0.7107884998576716
214,WikiCS,300,214,0.6857386848847139,0.7292912040990608,0.71733561058924,0.7107884998576716
251,WikiCS,300,251,0.7139197267292912,0.7190435525192144,0.6994022203245089,0.7107884998576716
166,WikiCS,300,166,0.7224594363791632,0.6934244235695987,0.7164816396242529,0.7107884998576717
197,WikiCS,300,197,0.7070879590093937,0.7181895815542272,0.707941929974381,0.7110731568460006
257,WikiCS,300,257,0.7181895815542272,0.6959863364645602,0.7190435525192144,0.7110731568460006
44,WikiCS,300,44,0.7275832621690861,0.7113578138343296,0.6942783945345858,0.7110731568460006
86,WikiCS,300,86,0.7053800170794193,0.7318531169940222,0.6959863364645602,0.7110731568460006
17,WikiCS,300,17,0.7164816396242529,0.71733561058924,0.6994022203245089,0.7110731568460006
225,WikiCS,300,225,0.7139197267292912,0.7002561912894961,0.7198975234842016,0.7113578138343296
158,WikiCS,300,158,0.7284372331340735,0.707941929974381,0.6976942783945346,0.7113578138343296
263,WikiCS,300,263,0.7198975234842016,0.7070879590093937,0.7070879590093937,0.7113578138343296
90,WikiCS,300,90,0.7096498719043552,0.7062339880444065,0.7181895815542272,0.7113578138343296
212,WikiCS,300,212,0.7002561912894961,0.707941929974381,0.7258753202391118,0.7113578138343297
270,WikiCS,300,270,0.7053800170794193,0.7181895815542272,0.7113578138343296,0.7116424708226586
170,WikiCS,300,170,0.7019641332194705,0.71733561058924,0.7156276686592656,0.7116424708226586
96,WikiCS,300,96,0.7241673783091375,0.7122117847993168,0.6985482493595218,0.7116424708226586
229,WikiCS,300,229,0.7139197267292912,0.7190435525192144,0.7028181041844578,0.7119271278109878
14,WikiCS,300,14,0.7062339880444065,0.7156276686592656,0.7139197267292912,0.7119271278109878
137,WikiCS,300,137,0.7028181041844578,0.7113578138343296,0.721605465414176,0.7119271278109878
69,WikiCS,300,69,0.7002561912894961,0.7301451750640479,0.7053800170794193,0.7119271278109878
125,WikiCS,300,125,0.7096498719043552,0.7011101622544833,0.7250213492741246,0.7119271278109878
248,WikiCS,300,248,0.7147736976942783,0.7045260461144321,0.7164816396242529,0.7119271278109878
51,WikiCS,300,51,0.6925704526046115,0.713065755764304,0.7309991460290349,0.7122117847993167
54,WikiCS,300,54,0.721605465414176,0.6857386848847139,0.7292912040990608,0.7122117847993169
145,WikiCS,300,145,0.7233134073441504,0.7028181041844578,0.7105038428693423,0.7122117847993169
75,WikiCS,300,75,0.7181895815542272,0.7019641332194705,0.7164816396242529,0.7122117847993169
217,WikiCS,300,217,0.695132365499573,0.7190435525192144,0.7224594363791632,0.7122117847993169
209,WikiCS,300,209,0.7139197267292912,0.7139197267292912,0.7096498719043552,0.7124964417876458
66,WikiCS,300,66,0.7096498719043552,0.7275832621690861,0.7002561912894961,0.7124964417876458
73,WikiCS,300,73,0.7122117847993168,0.6942783945345858,0.7309991460290349,0.7124964417876458
295,WikiCS,300,295,0.7198975234842016,0.7224594363791632,0.695132365499573,0.7124964417876459
148,WikiCS,300,148,0.7011101622544833,0.7258753202391118,0.7113578138343296,0.712781098775975
