,DataSet,TotalFeat,Range,Round 1,Round 2,Round 3,Average
529,Computers,767,529,0.846656977,0.849563953,0.840116279,0.845445736
636,Computers,767,636,0.855377907,0.84375,0.856104651,0.851744186
309,Computers,767,309,0.851744186,0.849563953,0.859738372,0.853682171
263,Computers,767,263,0.855377907,0.846656977,0.847383721,0.849806202
191,Computers,767,191,0.838662791,0.85755814,0.845203488,0.847141473
220,Computers,767,220,0.847383721,0.843023256,0.840116279,0.843507752
276,Computers,767,276,0.845203488,0.844476744,0.840843023,0.843507752
405,Computers,767,405,0.845203488,0.853197674,0.859011628,0.85247093
661,Computers,767,661,0.845203488,0.855377907,0.849563953,0.85004845
419,Computers,767,419,0.856104651,0.840843023,0.851017442,0.849321705
6,Computers,767,6,0.847383721,0.849563953,0.84375,0.846899225
444,Computers,767,444,0.847383721,0.833575581,0.841569767,0.840843023
42,Computers,767,42,0.841569767,0.851017442,0.85247093,0.848352713
105,Computers,767,105,0.842296512,0.841569767,0.848837209,0.844234496
353,Computers,767,353,0.840843023,0.854651163,0.859738372,0.851744186
20,Computers,767,20,0.831395349,0.848110465,0.854651163,0.844718992
491,Computers,767,491,0.843023256,0.860465116,0.855377907,0.852955426
148,Computers,767,148,0.836482558,0.864825581,0.847383721,0.849563953
625,Computers,767,625,0.835755814,0.858284884,0.849563953,0.847868217
158,Computers,767,158,0.854651163,0.856104651,0.847383721,0.852713178
372,Computers,767,372,0.841569767,0.849563953,0.85247093,0.847868217
421,Computers,767,421,0.854651163,0.851744186,0.845203488,0.850532946
178,Computers,767,178,0.840843023,0.848837209,0.849563953,0.846414729
283,Computers,767,283,0.854651163,0.842296512,0.838662791,0.845203488
253,Computers,767,253,0.85247093,0.846656977,0.859011628,0.852713178
453,Computers,767,453,0.844476744,0.837209302,0.841569767,0.841085271
522,Computers,767,522,0.832848837,0.850290698,0.845203488,0.842781008
760,Computers,767,760,0.836482558,0.848110465,0.843023256,0.84253876
438,Computers,767,438,0.853924419,0.853924419,0.845930233,0.85125969
459,Computers,767,459,0.842296512,0.855377907,0.842296512,0.846656977
763,Computers,767,763,0.836482558,0.838662791,0.851017442,0.842054264
418,Computers,767,418,0.845203488,0.843023256,0.850290698,0.846172481
0,Computers,767,0,0.859011628,0.844476744,0.847383721,0.850290698
718,Computers,767,718,0.848110465,0.859738372,0.848110465,0.851986434
578,Computers,767,578,0.853924419,0.847383721,0.855377907,0.852228682
723,Computers,767,723,0.846656977,0.85247093,0.837936047,0.845687984
727,Computers,767,727,0.855377907,0.85247093,0.848837209,0.852228682
13,Computers,767,13,0.848110465,0.849563953,0.846656977,0.848110465
447,Computers,767,447,0.85247093,0.84375,0.849563953,0.848594961
34,Computers,767,34,0.85247093,0.848837209,0.86119186,0.854166667
