,DataSet,TotalFeat,Range,Round 1,Round 2,Round 3,Average
306,Photo,745,306,0.904575163,0.922875817,0.91372549,0.91372549
700,Photo,745,700,0.918954248,0.900653595,0.896732026,0.905446623
574,Photo,745,574,0.912418301,0.899346405,0.926797386,0.912854031
540,Photo,745,540,0.894117647,0.917647059,0.909803922,0.907189542
315,Photo,745,315,0.899346405,0.905882353,0.903267974,0.902832244
144,Photo,745,144,0.904575163,0.904575163,0.911111111,0.906753813
677,Photo,745,677,0.907189542,0.917647059,0.899346405,0.908061002
211,Photo,745,211,0.904575163,0.922875817,0.905882353,0.911111111
35,Photo,745,35,0.911111111,0.918954248,0.912418301,0.91416122
46,Photo,745,46,0.896732026,0.917647059,0.888888889,0.901089325
512,Photo,745,512,0.91503268,0.924183007,0.908496732,0.915904139
350,Photo,745,350,0.91372549,0.909803922,0.899346405,0.907625272
489,Photo,745,489,0.901960784,0.912418301,0.908496732,0.907625272
456,Photo,745,456,0.907189542,0.907189542,0.899346405,0.904575163
435,Photo,745,435,0.91372549,0.904575163,0.907189542,0.908496732
258,Photo,745,258,0.911111111,0.912418301,0.921568627,0.91503268
70,Photo,745,70,0.911111111,0.911111111,0.900653595,0.907625272
317,Photo,745,317,0.918954248,0.91503268,0.901960784,0.911982571
297,Photo,745,297,0.907189542,0.907189542,0.921568627,0.911982571
32,Photo,745,32,0.916339869,0.905882353,0.911111111,0.911111111
503,Photo,745,503,0.911111111,0.901960784,0.909803922,0.907625272
120,Photo,745,120,0.920261438,0.901960784,0.911111111,0.911111111
293,Photo,745,293,0.899346405,0.898039216,0.91372549,0.903703704
200,Photo,745,200,0.905882353,0.907189542,0.900653595,0.904575163
480,Photo,745,480,0.905882353,0.911111111,0.905882353,0.907625272
527,Photo,745,527,0.908496732,0.926797386,0.905882353,0.91372549
340,Photo,745,340,0.907189542,0.926797386,0.91503268,0.916339869
563,Photo,745,563,0.921568627,0.91372549,0.907189542,0.91416122
125,Photo,745,125,0.91372549,0.909803922,0.912418301,0.911982571
729,Photo,745,729,0.905882353,0.912418301,0.907189542,0.908496732
282,Photo,745,282,0.904575163,0.91503268,0.907189542,0.908932462
525,Photo,745,525,0.920261438,0.918954248,0.896732026,0.911982571
319,Photo,745,319,0.909803922,0.907189542,0.909803922,0.908932462
276,Photo,745,276,0.909803922,0.904575163,0.91503268,0.909803922
429,Photo,745,429,0.937254902,0.901960784,0.916339869,0.918518519
687,Photo,745,687,0.912418301,0.920261438,0.904575163,0.912418301
135,Photo,745,135,0.922875817,0.909803922,0.901960784,0.911546841
241,Photo,745,241,0.911111111,0.916339869,0.907189542,0.911546841
