,DataSet,TotalFeat,Range,Round 1,Round 2,Round 3,Average
5591,CS,6805,5591,0.90785169,0.907306434,0.904580153,0.906579426
1847,CS,6805,1847,0.908942203,0.916575791,0.910577972,0.912031988
4023,CS,6805,4023,0.915485278,0.911123228,0.902399128,0.909669211
1231,CS,6805,1231,0.917121047,0.902399128,0.90785169,0.909123955
2534,CS,6805,2534,0.909487459,0.914940022,0.908942203,0.911123228
5498,CS,6805,5498,0.908942203,0.913849509,0.912758997,0.911850236
2073,CS,6805,2073,0.907306434,0.910577972,0.908942203,0.908942203
2993,CS,6805,2993,0.911123228,0.908942203,0.915485278,0.911850236
5199,CS,6805,5199,0.915485278,0.911123228,0.912758997,0.913122501
4699,CS,6805,4699,0.91221374,0.911668484,0.914940022,0.912940749
2024,CS,6805,2024,0.911668484,0.909487459,0.902399128,0.90785169
2621,CS,6805,2621,0.906215921,0.913304253,0.906761178,0.908760451
2930,CS,6805,2930,0.91221374,0.910032715,0.909487459,0.910577972
4826,CS,6805,4826,0.90785169,0.909487459,0.913304253,0.910214467
5201,CS,6805,5201,0.917121047,0.913849509,0.912758997,0.914576518
138,CS,6805,138,0.906761178,0.907306434,0.920392585,0.911486732
3303,CS,6805,3303,0.909487459,0.906761178,0.914940022,0.91039622
2590,CS,6769,2590,0.89912759,0.902944384,0.901853871,0.901308615
1030,CS,6805,1030,0.902399128,0.917666303,0.914394766,0.911486732
3481,CS,6805,3481,0.90785169,0.905125409,0.908942203,0.907306434
1240,CS,6805,1240,0.919302072,0.920937841,0.913304253,0.917848055
6188,CS,6805,6188,0.914940022,0.905125409,0.911123228,0.91039622
6469,CS,6805,6469,0.914940022,0.905670665,0.906761178,0.909123955
839,CS,6805,839,0.91221374,0.912758997,0.909487459,0.911486732
6123,CS,6805,6123,0.912758997,0.909487459,0.905125409,0.909123955
6211,CS,6805,6211,0.906215921,0.923664122,0.906761178,0.91221374
4925,CS,6805,4925,0.907306434,0.908942203,0.910032715,0.908760451
1434,CS,6805,1434,0.910577972,0.909487459,0.919847328,0.913304253
5149,CS,6805,5149,0.910577972,0.913304253,0.906215921,0.910032715
5825,CS,6805,5825,0.905125409,0.913304253,0.916030534,0.911486732
4805,CS,6805,4805,0.910577972,0.90785169,0.907306434,0.908578699
2608,CS,6805,2608,0.920392585,0.911123228,0.919302072,0.916939295
