,DataSet,TotalFeat,Range,Round 1,Round 2,Round 3,Average
979,CS,6805,979,0.91221374,0.92257361,0.904034896,0.912940749
689,CS,6805,689,0.909487459,0.912758997,0.908942203,0.91039622
2869,CS,6805,2869,0.913304253,0.908942203,0.904034896,0.908760451
6040,CS,6805,6040,0.905125409,0.90785169,0.904034896,0.905670665
1773,CS,6805,1773,0.904034896,0.911668484,0.910577972,0.908760451
5816,CS,6805,5816,0.91221374,0.914940022,0.911668484,0.912940749
294,CS,6805,294,0.918756816,0.914394766,0.914394766,0.915848782
3930,CS,6805,3930,0.911123228,0.919847328,0.918211559,0.916394039
2815,CS,6805,2815,0.910577972,0.916575791,0.913304253,0.913486005
7378,CS,6805,7378,0.902900622,0.837174276,0.907386187,0.882487028
509,CS,6805,509,0.91221374,0.910032715,0.907306434,0.909850963
2234,CS,6805,2234,0.909487459,0.912758997,0.901853871,0.908033442
7203,CS,6805,7203,0.905028768,0.858453233,0.908546754,0.890676252
2220,CS,6805,2220,0.911123228,0.912758997,0.917121047,0.913667757
3884,CS,6805,3884,0.913304253,0.906215921,0.918211559,0.912577245
5376,CS,6805,5376,0.913849509,0.923664122,0.917666303,0.918393312
8157,CS,6805,8157,0.893427328,0.742452521,0.902220009,0.846033286
5297,CS,6805,5297,0.916575791,0.900218103,0.917666303,0.911486732
5212,CS,6805,5212,0.898037077,0.904580153,0.912758997,0.905125409
7944,CS,6805,7944,0.896017587,0.768352051,0.903632584,0.856000741
4132,CS,6805,4132,0.905125409,0.915485278,0.91221374,0.910941476
7688,CS,6805,7688,0.899130762,0.799480125,0.905330327,0.867980404
4076,CS,6805,4076,0.91221374,0.910032715,0.92257361,0.914940022
8133,CS,6805,8133,0.893719188,0.745370778,0.902379172,0.847156379
7632,CS,6805,7632,0.899811769,0.806289391,0.905701708,0.870600956
4255,CS,6805,4255,0.90785169,0.904580153,0.916030534,0.909487459
2730,CS,6805,2730,0.91221374,0.896401309,0.910032715,0.906215921
331,CS,6805,331,0.918756816,0.912758997,0.908942203,0.913486005
5913,CS,6805,5913,0.906761178,0.912758997,0.898582334,0.906034169
4923,CS,6805,4923,0.904580153,0.90785169,0.913304253,0.908578699
8276,CS,6805,8276,0.891980188,0.72798283,0.901430824,0.840464614
6200,CS,6805,6200,0.910032715,0.911123228,0.908942203,0.910032715
4302,CS,6805,4302,0.908396947,0.915485278,0.913304253,0.912395493
8385,CS,6805,8385,0.890654657,0.71472908,0.900707957,0.835363898
5191,CS,6805,5191,0.906215921,0.911123228,0.915485278,0.910941476
5900,CS,6805,5900,0.913849509,0.911668484,0.909487459,0.911668484
4575,CS,6805,4575,0.911123228,0.910577972,0.914394766,0.912031988
1602,CS,6805,1602,0.913304253,0.912758997,0.908942203,0.911668484
4046,CS,6805,4046,0.905670665,0.909487459,0.913304253,0.909487459
2773,CS,6805,2773,0.919302072,0.909487459,0.910577972,0.913122501
2103,CS,6805,2103,0.909487459,0.911123228,0.91221374,0.910941476
5445,CS,6805,5445,0.919847328,0.912758997,0.917121047,0.916575791
8,CS,6805,8,0.914394766,0.911668484,0.912758997,0.912940749
7659,CS,6805,7659,0.899483426,0.803006352,0.905522649,0.869337476
6050,CS,6805,6050,0.902399128,0.905670665,0.902944384,0.903671392
4997,CS,6805,4997,0.908396947,0.909487459,0.905125409,0.907669938
5704,CS,6805,5704,0.91221374,0.911123228,0.907306434,0.910214467
4103,CS,6805,4103,0.919302072,0.910032715,0.906215921,0.911850236
5066,CS,6805,5066,0.912758997,0.910032715,0.911668484,0.911486732
5083,CS,6805,5083,0.908396947,0.916030534,0.917666303,0.914031261
6298,CS,6805,6298,0.907306434,0.91221374,0.909487459,0.909669211
1305,CS,6805,1305,0.911668484,0.90785169,0.911123228,0.910214467
2063,CS,6805,2063,0.90348964,0.910032715,0.913304253,0.908942203
4395,CS,6805,4395,0.912758997,0.899672846,0.90785169,0.906761178
2694,CS,6805,2694,0.920392585,0.912758997,0.904034896,0.912395493
1465,CS,6805,1465,0.920392585,0.915485278,0.911123228,0.91566703
