,DataSet,TotalFeat,Range,Round 1,Round 2,Round 3,Average
192,WikiCS,300,192,0.707087959,0.690862511,0.710503843,0.702818104
259,WikiCS,300,259,0.700256191,0.727583262,0.71648164,0.714773698
94,WikiCS,300,94,0.713065756,0.717335611,0.694278395,0.708226587
172,WikiCS,300,172,0.69940222,0.728437233,0.69940222,0.709080558
119,WikiCS,300,119,0.725021349,0.700256191,0.721605465,0.715627669
49,WikiCS,300,49,0.720751494,0.711357814,0.754056362,0.72872189
282,WikiCS,300,282,0.736976943,0.726729291,0.719043553,0.727583262
220,WikiCS,300,220,0.731853117,0.685738685,0.721605465,0.713065756
45,WikiCS,300,45,0.727583262,0.693424424,0.72587532,0.715627669
232,WikiCS,300,232,0.711357814,0.724167378,0.715627669,0.717050954
299,WikiCS,300,299,0.715627669,0.725021349,0.715627669,0.718758896
293,WikiCS,300,293,0.715627669,0.705380017,0.736122972,0.719043553
204,WikiCS,300,204,0.745516652,0.719043553,0.721605465,0.72872189
96,WikiCS,300,96,0.724167378,0.712211785,0.698548249,0.711642471
15,WikiCS,300,15,0.736976943,0.703672075,0.725021349,0.721890122
199,WikiCS,300,199,0.746370623,0.701964133,0.730999146,0.726444634
61,WikiCS,300,61,0.695986336,0.700256191,0.714773698,0.703672075
144,WikiCS,300,144,0.741246798,0.680614859,0.693424424,0.70509536
124,WikiCS,300,124,0.709649872,0.736122972,0.726729291,0.724167378
93,WikiCS,300,93,0.714773698,0.705380017,0.719043553,0.713065756
131,WikiCS,300,131,0.704526046,0.72587532,0.701964133,0.7107885
35,WikiCS,300,35,0.715627669,0.726729291,0.697694278,0.713350413
181,WikiCS,300,181,0.703672075,0.700256191,0.700256191,0.701394819
242,WikiCS,300,242,0.719043553,0.740392827,0.708795901,0.722744093
14,WikiCS,300,14,0.706233988,0.715627669,0.713919727,0.711927128
195,WikiCS,300,195,0.718189582,0.719897523,0.719043553,0.719043553
157,WikiCS,300,157,0.73441503,0.720751494,0.714773698,0.723313407
152,WikiCS,300,152,0.706233988,0.685738685,0.729291204,0.707087959
223,WikiCS,300,223,0.717335611,0.686592656,0.706233988,0.703387418
200,WikiCS,300,200,0.72587532,0.69940222,0.719897523,0.715058355
44,WikiCS,300,44,0.727583262,0.711357814,0.694278395,0.711073157
285,WikiCS,300,285,0.708795901,0.698548249,0.702818104,0.703387418
209,WikiCS,300,209,0.713919727,0.713919727,0.709649872,0.712496442
136,WikiCS,300,136,0.722459436,0.704526046,0.69940222,0.708795901
231,WikiCS,300,231,0.712211785,0.698548249,0.717335611,0.709365215
67,WikiCS,300,67,0.717335611,0.69000854,0.711357814,0.706233988
151,WikiCS,300,151,0.704526046,0.717335611,0.700256191,0.707372616
206,WikiCS,300,206,0.714773698,0.727583262,0.717335611,0.719897523
82,WikiCS,300,82,0.722459436,0.706233988,0.724167378,0.717620268
162,WikiCS,300,162,0.703672075,0.725021349,0.737830914,0.722174779
197,WikiCS,300,197,0.707087959,0.718189582,0.70794193,0.711073157
267,WikiCS,300,267,0.721605465,0.696840307,0.710503843,0.709649872
91,WikiCS,300,91,0.703672075,0.703672075,0.713919727,0.707087959
51,WikiCS,300,51,0.692570453,0.713065756,0.730999146,0.712211785
13,WikiCS,300,13,0.708795901,0.69940222,0.70794193,0.705380017
241,WikiCS,300,241,0.723313407,0.717335611,0.703672075,0.714773698
228,WikiCS,300,228,0.719043553,0.723313407,0.70794193,0.716766297
76,WikiCS,300,76,0.704526046,0.728437233,0.719043553,0.717335611
26,WikiCS,300,26,0.711357814,0.695986336,0.700256191,0.702533447
265,WikiCS,300,265,0.720751494,0.702818104,0.703672075,0.709080558
292,WikiCS,300,292,0.700256191,0.72587532,0.700256191,0.708795901
84,WikiCS,300,84,0.729291204,0.712211785,0.717335611,0.719612866
154,WikiCS,300,154,0.727583262,0.719043553,0.678052946,0.708226587
189,WikiCS,300,189,0.717335611,0.712211785,0.678906917,0.702818104
134,WikiCS,300,134,0.711357814,0.732707088,0.69940222,0.714489041
128,WikiCS,300,128,0.718189582,0.737830914,0.714773698,0.723598064
250,WikiCS,300,250,0.71648164,0.712211785,0.719043553,0.715912326
175,WikiCS,300,175,0.721605465,0.728437233,0.71648164,0.722174779
296,WikiCS,300,296,0.720751494,0.719043553,0.724167378,0.721320808
47,WikiCS,300,47,0.703672075,0.721605465,0.714773698,0.713350413
133,WikiCS,300,133,0.730999146,0.701110162,0.685738685,0.705949331
135,WikiCS,300,135,0.70794193,0.71648164,0.713919727,0.712781099
9,WikiCS,300,9,0.742100769,0.719043553,0.719043553,0.726729291
143,WikiCS,300,143,0.708795901,0.719897523,0.717335611,0.715343012
272,WikiCS,300,272,0.701964133,0.702818104,0.740392827,0.715058355
92,WikiCS,300,92,0.706233988,0.709649872,0.711357814,0.709080558
18,WikiCS,300,18,0.718189582,0.73441503,0.718189582,0.723598064
97,WikiCS,300,97,0.723313407,0.711357814,0.72587532,0.72018218
8,WikiCS,300,8,0.713065756,0.731853117,0.721605465,0.722174779
224,WikiCS,300,224,0.702818104,0.727583262,0.724167378,0.718189582
118,WikiCS,300,118,0.698548249,0.713065756,0.730145175,0.713919727
257,WikiCS,300,257,0.718189582,0.695986336,0.719043553,0.711073157
