,DataSet,TotalFeat,Range,Round 1,Round 2,Round 3,Average
689,Actor,932,689,0.2723684210526316,0.2631578947368421,0.26052631578947366,0.26535087719298245
47,Actor,932,47,0.2631578947368421,0.26973684210526316,0.2644736842105263,0.2657894736842105
35,Actor,932,35,0.26842105263157895,0.26842105263157895,0.2657894736842105,0.2675438596491228
278,Actor,932,278,0.275,0.2578947368421053,0.26973684210526316,0.2675438596491228
847,Actor,932,847,0.26052631578947366,0.2513157894736842,0.29078947368421054,0.2675438596491228
553,Actor,932,553,0.2710526315789474,0.2644736842105263,0.26842105263157895,0.2679824561403508
543,Actor,932,543,0.26052631578947366,0.2710526315789474,0.2723684210526316,0.2679824561403509
286,Actor,932,286,0.2723684210526316,0.2644736842105263,0.26710526315789473,0.2679824561403509
201,Actor,932,201,0.275,0.2565789473684211,0.2723684210526316,0.26798245614035093
697,Actor,932,697,0.25921052631578945,0.2723684210526316,0.275,0.268859649122807
462,Actor,932,462,0.2723684210526316,0.26842105263157895,0.2657894736842105,0.268859649122807
330,Actor,932,330,0.26842105263157895,0.275,0.2631578947368421,0.268859649122807
176,Actor,932,176,0.26842105263157895,0.25526315789473686,0.28289473684210525,0.268859649122807
662,Actor,932,662,0.28157894736842104,0.25394736842105264,0.2710526315789474,0.268859649122807
325,Actor,932,325,0.27631578947368424,0.25526315789473686,0.2776315789473684,0.2697368421052632
642,Actor,932,642,0.275,0.275,0.26052631578947366,0.27017543859649124
359,Actor,932,359,0.275,0.2710526315789474,0.2644736842105263,0.27017543859649124
571,Actor,932,571,0.2657894736842105,0.28421052631578947,0.2618421052631579,0.2706140350877193
453,Actor,932,453,0.2657894736842105,0.27631578947368424,0.26973684210526316,0.2706140350877193
54,Actor,932,54,0.26052631578947366,0.2789473684210526,0.2723684210526316,0.2706140350877193
32,Actor,932,32,0.28421052631578947,0.26973684210526316,0.26052631578947366,0.2714912280701754
663,Actor,932,663,0.2736842105263158,0.2789473684210526,0.2618421052631579,0.2714912280701754
