,DataSet,TotalFeat,Range,Round 1,Round 2,Round 3,Average
215,CiteSeer,3703,215,0.5958083832335329,0.6317365269461078,0.5988023952095808,0.6087824351297405
2794,CiteSeer,3703,2794,0.6227544910179641,0.5838323353293413,0.6287425149700598,0.6117764471057884
2618,CiteSeer,3703,2618,0.625748502994012,0.5958083832335329,0.6167664670658682,0.6127744510978044
1826,CiteSeer,3703,1826,0.6017964071856288,0.6227544910179641,0.6197604790419161,0.6147704590818363
539,CiteSeer,3703,539,0.6347305389221557,0.6137724550898204,0.5988023952095808,0.6157684630738522
1617,CiteSeer,3703,1617,0.6407185628742516,0.5838323353293413,0.6227544910179641,0.6157684630738524
1570,CiteSeer,3703,1570,0.6077844311377245,0.6197604790419161,0.625748502994012,0.6177644710578841
2929,CiteSeer,3703,2929,0.6077844311377245,0.6227544910179641,0.6227544910179641,0.6177644710578842
819,CiteSeer,3703,819,0.6047904191616766,0.6047904191616766,0.6437125748502994,0.6177644710578842
3625,CiteSeer,3703,3625,0.6017964071856288,0.6137724550898204,0.6437125748502994,0.6197604790419161
1990,CiteSeer,3703,1990,0.6227544910179641,0.6017964071856288,0.6347305389221557,0.6197604790419162
2633,CiteSeer,3703,2633,0.625748502994012,0.6107784431137725,0.6227544910179641,0.6197604790419162
199,CiteSeer,3703,199,0.6347305389221557,0.6077844311377245,0.6167664670658682,0.6197604790419162
2726,CiteSeer,3703,2726,0.6347305389221557,0.592814371257485,0.6317365269461078,0.6197604790419162
3082,CiteSeer,3703,3082,0.6407185628742516,0.5898203592814372,0.6287425149700598,0.6197604790419162
3411,CiteSeer,3703,3411,0.6407185628742516,0.5988023952095808,0.6197604790419161,0.6197604790419162
1981,CiteSeer,3703,1981,0.6137724550898204,0.6047904191616766,0.6437125748502994,0.6207584830339321
3567,CiteSeer,3703,3567,0.6167664670658682,0.6137724550898204,0.6317365269461078,0.6207584830339322
3543,CiteSeer,3703,3543,0.6107784431137725,0.625748502994012,0.625748502994012,0.6207584830339322
2001,CiteSeer,3703,2001,0.6227544910179641,0.6287425149700598,0.6107784431137725,0.6207584830339322
729,CiteSeer,3703,729,0.6347305389221557,0.6047904191616766,0.6227544910179641,0.6207584830339322
792,CiteSeer,3703,792,0.6167664670658682,0.625748502994012,0.6197604790419161,0.6207584830339322
2343,CiteSeer,3703,2343,0.6167664670658682,0.625748502994012,0.6197604790419161,0.6207584830339322
2065,CiteSeer,3703,2065,0.6227544910179641,0.6287425149700598,0.6107784431137725,0.6207584830339322
466,CiteSeer,3703,466,0.625748502994012,0.6167664670658682,0.6197604790419161,0.6207584830339322
3500,CiteSeer,3703,3500,0.6317365269461078,0.6407185628742516,0.592814371257485,0.6217564870259481
593,CiteSeer,3703,593,0.6347305389221557,0.6347305389221557,0.5958083832335329,0.6217564870259481
3161,CiteSeer,3703,3161,0.625748502994012,0.6167664670658682,0.6227544910179641,0.6217564870259481
2277,CiteSeer,3703,2277,0.6796407185628742,0.5808383233532934,0.6047904191616766,0.6217564870259481
2983,CiteSeer,3703,2983,0.6017964071856288,0.6347305389221557,0.6287425149700598,0.6217564870259481
1368,CiteSeer,3703,1368,0.6287425149700598,0.6317365269461078,0.6047904191616766,0.6217564870259481
988,CiteSeer,3703,988,0.6017964071856288,0.6317365269461078,0.6317365269461078,0.6217564870259481
1014,CiteSeer,3703,1014,0.5988023952095808,0.6437125748502994,0.6227544910179641,0.6217564870259481
245,CiteSeer,3703,245,0.6317365269461078,0.6347305389221557,0.5988023952095808,0.6217564870259481
2201,CiteSeer,3703,2201,0.6287425149700598,0.6047904191616766,0.6317365269461078,0.6217564870259481
2222,CiteSeer,3703,2222,0.6467065868263473,0.592814371257485,0.625748502994012,0.6217564870259481
3323,CiteSeer,3703,3323,0.6377245508982036,0.6347305389221557,0.592814371257485,0.6217564870259481
1391,CiteSeer,3703,1391,0.625748502994012,0.6317365269461078,0.6077844311377245,0.6217564870259481
430,CiteSeer,3703,430,0.625748502994012,0.6317365269461078,0.6077844311377245,0.6217564870259481
2503,CiteSeer,3703,2503,0.6526946107784432,0.592814371257485,0.6197604790419161,0.6217564870259481
1268,CiteSeer,3703,1268,0.6467065868263473,0.6137724550898204,0.6077844311377245,0.622754491017964
2941,CiteSeer,3703,2941,0.6317365269461078,0.6287425149700598,0.6077844311377245,0.622754491017964
525,CiteSeer,3703,525,0.6287425149700598,0.5958083832335329,0.6437125748502994,0.622754491017964
497,CiteSeer,3703,497,0.625748502994012,0.592814371257485,0.6497005988023952,0.622754491017964
3025,CiteSeer,3703,3025,0.6137724550898204,0.6077844311377245,0.6467065868263473,0.622754491017964
3232,CiteSeer,3703,3232,0.6197604790419161,0.6197604790419161,0.6287425149700598,0.622754491017964
2943,CiteSeer,3703,2943,0.6197604790419161,0.655688622754491,0.592814371257485,0.6227544910179641
830,CiteSeer,3703,830,0.6287425149700598,0.6197604790419161,0.6197604790419161,0.6227544910179641
461,CiteSeer,3703,461,0.6407185628742516,0.6047904191616766,0.6227544910179641,0.6227544910179641
1290,CiteSeer,3703,1290,0.6017964071856288,0.6437125748502994,0.6227544910179641,0.6227544910179641
2420,CiteSeer,3703,2420,0.5868263473053892,0.6497005988023952,0.6317365269461078,0.6227544910179641
118,CiteSeer,3703,118,0.625748502994012,0.6287425149700598,0.6137724550898204,0.6227544910179641
3219,CiteSeer,3703,3219,0.6497005988023952,0.5958083832335329,0.6227544910179641,0.6227544910179641
3457,CiteSeer,3703,3457,0.6437125748502994,0.6017964071856288,0.6227544910179641,0.6227544910179641
2691,CiteSeer,3703,2691,0.6377245508982036,0.6017964071856288,0.6287425149700598,0.6227544910179641
1501,CiteSeer,3703,1501,0.625748502994012,0.6227544910179641,0.6197604790419161,0.6227544910179641
1597,CiteSeer,3703,1597,0.6347305389221557,0.6197604790419161,0.6137724550898204,0.6227544910179641
3281,CiteSeer,3703,3281,0.6137724550898204,0.6137724550898204,0.6407185628742516,0.6227544910179641
567,CiteSeer,3703,567,0.6497005988023952,0.6017964071856288,0.6167664670658682,0.6227544910179641
929,CiteSeer,3703,929,0.625748502994012,0.6107784431137725,0.6317365269461078,0.6227544910179641
1056,CiteSeer,3703,1056,0.6167664670658682,0.6077844311377245,0.6467065868263473,0.62375249500998
2048,CiteSeer,3703,2048,0.6347305389221557,0.6287425149700598,0.6077844311377245,0.62375249500998
364,CiteSeer,3703,364,0.6107784431137725,0.6497005988023952,0.6107784431137725,0.6237524950099801
2736,CiteSeer,3703,2736,0.6017964071856288,0.6347305389221557,0.6347305389221557,0.6237524950099801
1876,CiteSeer,3703,1876,0.6137724550898204,0.6107784431137725,0.6467065868263473,0.6237524950099801
411,CiteSeer,3703,411,0.6437125748502994,0.6167664670658682,0.6107784431137725,0.6237524950099801
2671,CiteSeer,3703,2671,0.6047904191616766,0.6347305389221557,0.6317365269461078,0.6237524950099801
1457,CiteSeer,3703,1457,0.6167664670658682,0.6167664670658682,0.6377245508982036,0.6237524950099801
2002,CiteSeer,3703,2002,0.6197604790419161,0.6407185628742516,0.6107784431137725,0.6237524950099801
2547,CiteSeer,3703,2547,0.6317365269461078,0.6137724550898204,0.625748502994012,0.6237524950099801
1273,CiteSeer,3703,1273,0.6377245508982036,0.6197604790419161,0.6137724550898204,0.6237524950099801
2434,CiteSeer,3703,2434,0.6227544910179641,0.6227544910179641,0.625748502994012,0.6237524950099801
3058,CiteSeer,3703,3058,0.6467065868263473,0.6227544910179641,0.6017964071856288,0.6237524950099801
1594,CiteSeer,3703,1594,0.6317365269461078,0.6047904191616766,0.6347305389221557,0.6237524950099801
3461,CiteSeer,3703,3461,0.6137724550898204,0.6437125748502994,0.6137724550898204,0.6237524950099801
441,CiteSeer,3703,441,0.6137724550898204,0.6317365269461078,0.6287425149700598,0.624750499001996
1157,CiteSeer,3703,1157,0.625748502994012,0.6197604790419161,0.6287425149700598,0.624750499001996
1967,CiteSeer,3703,1967,0.6526946107784432,0.5988023952095808,0.6227544910179641,0.624750499001996
1300,CiteSeer,3703,1300,0.6317365269461078,0.6197604790419161,0.6227544910179641,0.624750499001996
766,CiteSeer,3703,766,0.6377245508982036,0.6047904191616766,0.6317365269461078,0.624750499001996
2083,CiteSeer,3703,2083,0.6107784431137725,0.6197604790419161,0.6437125748502994,0.624750499001996
2447,CiteSeer,3703,2447,0.6347305389221557,0.6137724550898204,0.625748502994012,0.624750499001996
3243,CiteSeer,3703,3243,0.5898203592814372,0.655688622754491,0.6287425149700598,0.624750499001996
662,CiteSeer,3703,662,0.6137724550898204,0.6287425149700598,0.6317365269461078,0.624750499001996
2789,CiteSeer,3703,2789,0.6347305389221557,0.5898203592814372,0.6497005988023952,0.624750499001996
3284,CiteSeer,3703,3284,0.6197604790419161,0.6107784431137725,0.6437125748502994,0.624750499001996
609,CiteSeer,3703,609,0.6317365269461078,0.6227544910179641,0.6197604790419161,0.624750499001996
503,CiteSeer,3703,503,0.625748502994012,0.6317365269461078,0.6167664670658682,0.624750499001996
2485,CiteSeer,3703,2485,0.625748502994012,0.6317365269461078,0.6167664670658682,0.624750499001996
2193,CiteSeer,3703,2193,0.6497005988023952,0.6197604790419161,0.6077844311377245,0.6257485029940119
227,CiteSeer,3703,227,0.6167664670658682,0.625748502994012,0.6347305389221557,0.625748502994012
3508,CiteSeer,3703,3508,0.6167664670658682,0.6437125748502994,0.6167664670658682,0.625748502994012
3156,CiteSeer,3703,3156,0.6407185628742516,0.6227544910179641,0.6137724550898204,0.625748502994012
895,CiteSeer,3703,895,0.6287425149700598,0.6167664670658682,0.6317365269461078,0.625748502994012
1788,CiteSeer,3703,1788,0.6197604790419161,0.6377245508982036,0.6197604790419161,0.625748502994012
336,CiteSeer,3703,336,0.6287425149700598,0.6167664670658682,0.6317365269461078,0.625748502994012
943,CiteSeer,3703,943,0.6197604790419161,0.6227544910179641,0.6347305389221557,0.625748502994012
1046,CiteSeer,3703,1046,0.592814371257485,0.6137724550898204,0.6706586826347305,0.625748502994012
2253,CiteSeer,3703,2253,0.6347305389221557,0.6227544910179641,0.6197604790419161,0.625748502994012
2933,CiteSeer,3703,2933,0.625748502994012,0.6347305389221557,0.6167664670658682,0.625748502994012
