,DataSet,TotalFeat,Range,Round 1,Round 2,Round 3,Average
288,Cora,1433,288,0.7720588235294118,0.7536764705882353,0.7647058823529412,0.7634803921568628
1085,Cora,1433,1085,0.7941176470588235,0.75,0.7757352941176472,0.7732843137254902
1381,Cora,1433,1381,0.7573529411764706,0.7867647058823529,0.7830882352941176,0.7757352941176471
1421,Cora,1433,1421,0.7720588235294118,0.7757352941176472,0.7794117647058824,0.7757352941176471
926,Cora,1433,926,0.7683823529411765,0.7830882352941176,0.7757352941176472,0.7757352941176471
1062,Cora,1433,1062,0.761029411764706,0.7757352941176472,0.7904411764705882,0.7757352941176472
1061,Cora,1433,1061,0.7830882352941176,0.7536764705882353,0.7941176470588235,0.7769607843137254
1054,Cora,1433,1054,0.7683823529411765,0.7904411764705882,0.7757352941176472,0.778186274509804
1366,Cora,1433,1366,0.7757352941176472,0.7757352941176472,0.7830882352941176,0.778186274509804
496,Cora,1433,496,0.7720588235294118,0.7867647058823529,0.7757352941176472,0.778186274509804
48,Cora,1433,48,0.7794117647058824,0.761029411764706,0.797794117647059,0.7794117647058824
721,Cora,1433,721,0.7683823529411765,0.7720588235294118,0.797794117647059,0.7794117647058824
320,Cora,1433,320,0.7794117647058824,0.7867647058823529,0.7720588235294118,0.7794117647058824
857,Cora,1433,857,0.7867647058823529,0.7683823529411765,0.7867647058823529,0.7806372549019608
184,Cora,1433,184,0.7904411764705882,0.7647058823529412,0.7867647058823529,0.7806372549019608
1307,Cora,1433,1307,0.7941176470588235,0.7720588235294118,0.7757352941176472,0.7806372549019608
758,Cora,1433,758,0.7757352941176472,0.7941176470588235,0.7720588235294118,0.7806372549019608
75,Cora,1433,75,0.7794117647058824,0.7830882352941176,0.7794117647058824,0.7806372549019608
573,Cora,1433,573,0.7941176470588235,0.7794117647058824,0.7683823529411765,0.7806372549019608
902,Cora,1433,902,0.7867647058823529,0.7794117647058824,0.7757352941176472,0.7806372549019608
214,Cora,1433,214,0.7683823529411765,0.7757352941176472,0.797794117647059,0.7806372549019609
562,Cora,1433,562,0.797794117647059,0.761029411764706,0.7830882352941176,0.7806372549019609
580,Cora,1433,580,0.7647058823529412,0.8161764705882353,0.761029411764706,0.7806372549019609
118,Cora,1433,118,0.797794117647059,0.7720588235294118,0.7757352941176472,0.7818627450980392
119,Cora,1433,119,0.761029411764706,0.7904411764705882,0.7941176470588235,0.7818627450980392
1363,Cora,1433,1363,0.8014705882352942,0.7683823529411765,0.7757352941176472,0.7818627450980392
1359,Cora,1433,1359,0.7720588235294118,0.7830882352941176,0.7941176470588235,0.7830882352941176
1329,Cora,1433,1329,0.7830882352941176,0.7867647058823529,0.7794117647058824,0.7830882352941176
594,Cora,1433,594,0.7867647058823529,0.7757352941176472,0.7867647058823529,0.7830882352941176
1089,Cora,1433,1089,0.7647058823529412,0.7904411764705882,0.7941176470588235,0.7830882352941176
521,Cora,1433,521,0.797794117647059,0.7904411764705882,0.761029411764706,0.7830882352941178
44,Cora,1433,44,0.797794117647059,0.7720588235294118,0.7794117647058824,0.7830882352941178
43,Cora,1433,43,0.7830882352941176,0.797794117647059,0.7683823529411765,0.7830882352941178
612,Cora,1433,612,0.7647058823529412,0.8088235294117648,0.7757352941176472,0.7830882352941178
1104,Cora,1433,1104,0.7757352941176472,0.7647058823529412,0.8088235294117648,0.7830882352941178
1380,Cora,1433,1380,0.7830882352941176,0.7573529411764706,0.8088235294117648,0.7830882352941178
940,Cora,1433,940,0.8051470588235294,0.7757352941176472,0.7683823529411765,0.7830882352941178
1049,Cora,1433,1049,0.8051470588235294,0.761029411764706,0.7867647058823529,0.7843137254901961
707,Cora,1433,707,0.7941176470588235,0.7867647058823529,0.7720588235294118,0.7843137254901961
821,Cora,1433,821,0.8088235294117648,0.7536764705882353,0.7904411764705882,0.7843137254901961
1357,Cora,1433,1357,0.797794117647059,0.7757352941176472,0.7794117647058824,0.7843137254901961
493,Cora,1433,493,0.7720588235294118,0.7830882352941176,0.797794117647059,0.7843137254901961
395,Cora,1433,395,0.7830882352941176,0.7904411764705882,0.7794117647058824,0.7843137254901961
354,Cora,1433,354,0.7904411764705882,0.7941176470588235,0.7683823529411765,0.7843137254901961
659,Cora,1433,659,0.7830882352941176,0.7830882352941176,0.7867647058823529,0.7843137254901961
759,Cora,1433,759,0.7904411764705882,0.7941176470588235,0.7683823529411765,0.7843137254901961
133,Cora,1433,133,0.7757352941176472,0.7867647058823529,0.7904411764705882,0.7843137254901961
45,Cora,1433,45,0.7904411764705882,0.8051470588235294,0.7573529411764706,0.7843137254901961
350,Cora,1433,350,0.7904411764705882,0.7794117647058824,0.7830882352941176,0.7843137254901961
