,DataSet,TotalFeat,Range,Round 1,Round 2,Round 3,Average
726,Actor,932,726,0.280263158,0.289473684,0.290789474,0.286842105
355,Actor,932,355,0.298684211,0.288157895,0.285526316,0.290789474
486,Actor,932,486,0.3,0.264473684,0.275,0.279824561
270,Actor,932,270,0.280263158,0.288157895,0.293421053,0.287280702
510,Actor,932,510,0.305263158,0.284210526,0.281578947,0.290350877
561,Actor,932,561,0.292105263,0.290789474,0.271052632,0.284649123
529,Actor,932,529,0.276315789,0.271052632,0.298684211,0.282017544
786,Actor,932,786,0.289473684,0.286842105,0.293421053,0.289912281
373,Actor,932,373,0.296052632,0.259210526,0.265789474,0.273684211
187,Actor,932,187,0.294736842,0.277631579,0.268421053,0.280263158
747,Actor,932,747,0.277631579,0.282894737,0.271052632,0.277192982
797,Actor,932,797,0.281578947,0.272368421,0.261842105,0.271929825
365,Actor,932,365,0.293421053,0.3,0.294736842,0.296052632
46,Actor,932,46,0.296052632,0.280263158,0.289473684,0.288596491
254,Actor,932,254,0.288157895,0.278947368,0.273684211,0.280263158
729,Actor,932,729,0.273684211,0.273684211,0.273684211,0.273684211
384,Actor,932,384,0.268421053,0.276315789,0.284210526,0.276315789
345,Actor,932,345,0.271052632,0.272368421,0.288157895,0.277192982
911,Actor,932,911,0.296052632,0.298684211,0.286842105,0.293859649
380,Actor,932,380,0.302631579,0.298684211,0.276315789,0.29254386
653,Actor,932,653,0.288157895,0.292105263,0.288157895,0.289473684
777,Actor,932,777,0.281578947,0.281578947,0.275,0.279385965
77,Actor,932,77,0.278947368,0.276315789,0.298684211,0.284649123
374,Actor,932,374,0.294736842,0.284210526,0.293421053,0.290789474
24,Actor,932,24,0.278947368,0.284210526,0.284210526,0.28245614
467,Actor,932,467,0.289473684,0.311842105,0.288157895,0.296491228
399,Actor,932,399,0.277631579,0.272368421,0.264473684,0.271491228
408,Actor,932,408,0.285526316,0.268421053,0.284210526,0.279385965
685,Actor,932,685,0.286842105,0.289473684,0.298684211,0.291666667
742,Actor,932,742,0.271052632,0.289473684,0.275,0.278508772
154,Actor,932,154,0.281578947,0.289473684,0.275,0.282017544
267,Actor,932,267,0.278947368,0.288157895,0.276315789,0.281140351
856,Actor,932,856,0.284210526,0.275,0.289473684,0.282894737
930,Actor,932,930,0.298684211,0.282894737,0.294736842,0.292105263
654,Actor,932,654,0.282894737,0.272368421,0.276315789,0.277192982
865,Actor,932,865,0.281578947,0.317105263,0.292105263,0.296929825
640,Actor,932,640,0.276315789,0.288157895,0.281578947,0.282017544
682,Actor,932,682,0.296052632,0.276315789,0.275,0.28245614
112,Actor,932,112,0.301315789,0.271052632,0.278947368,0.28377193
96,Actor,932,96,0.280263158,0.275,0.298684211,0.284649123
105,Actor,932,105,0.303947368,0.255263158,0.271052632,0.276754386
540,Actor,932,540,0.286842105,0.293421053,0.281578947,0.287280702
