,DataSet,TotalFeat,Range,Round 1,Round 2,Round 3,Average
1538,CiteSeer,3703,1538,0.625748503,0.661676647,0.643712575,0.643712575
613,CiteSeer,3703,613,0.652694611,0.619760479,0.670658683,0.647704591
419,CiteSeer,3703,419,0.616766467,0.634730539,0.634730539,0.628742515
2052,CiteSeer,3703,2052,0.634730539,0.676646707,0.634730539,0.648702595
3136,CiteSeer,3703,3136,0.673652695,0.643712575,0.643712575,0.653692615
1978,CiteSeer,3703,1978,0.619760479,0.631736527,0.667664671,0.639720559
1487,CiteSeer,3703,1487,0.640718563,0.676646707,0.622754491,0.646706587
1534,CiteSeer,3703,1534,0.634730539,0.637724551,0.625748503,0.632734531
1992,CiteSeer,3703,1992,0.670658683,0.655688623,0.670658683,0.665668663
3668,CiteSeer,3703,3668,0.646706587,0.652694611,0.652694611,0.650698603
3320,CiteSeer,3703,3320,0.646706587,0.691616766,0.643712575,0.660678643
2137,CiteSeer,3703,2137,0.646706587,0.634730539,0.616766467,0.632734531
1300,CiteSeer,3703,1300,0.631736527,0.619760479,0.622754491,0.624750499
2440,CiteSeer,3703,2440,0.616766467,0.628742515,0.661676647,0.635728543
789,CiteSeer,3703,789,0.625748503,0.646706587,0.640718563,0.637724551
3139,CiteSeer,3703,3139,0.637724551,0.643712575,0.625748503,0.635728543
3585,CiteSeer,3703,3585,0.661676647,0.634730539,0.676646707,0.657684631
1789,CiteSeer,3703,1789,0.658682635,0.664670659,0.637724551,0.653692615
2875,CiteSeer,3703,2875,0.649700599,0.643712575,0.649700599,0.647704591
923,CiteSeer,3703,923,0.637724551,0.688622754,0.631736527,0.652694611
3001,CiteSeer,3703,3001,0.637724551,0.625748503,0.637724551,0.633732535
963,CiteSeer,3703,963,0.640718563,0.628742515,0.655688623,0.641716567
2682,CiteSeer,3703,2682,0.655688623,0.640718563,0.631736527,0.642714571
1722,CiteSeer,3703,1722,0.661676647,0.628742515,0.649700599,0.646706587
884,CiteSeer,3703,884,0.667664671,0.664670659,0.649700599,0.660678643
1614,CiteSeer,3703,1614,0.661676647,0.637724551,0.634730539,0.644710579
1863,CiteSeer,3703,1863,0.664670659,0.634730539,0.619760479,0.639720559
2039,CiteSeer,3703,2039,0.628742515,0.658682635,0.670658683,0.652694611
708,CiteSeer,3703,708,0.619760479,0.637724551,0.634730539,0.630738523
318,CiteSeer,3703,318,0.670658683,0.661676647,0.640718563,0.657684631
2539,CiteSeer,3703,2539,0.634730539,0.631736527,0.673652695,0.646706587
483,CiteSeer,3703,483,0.670658683,0.619760479,0.625748503,0.638722555
2124,CiteSeer,3703,2124,0.637724551,0.649700599,0.661676647,0.649700599
458,CiteSeer,3703,458,0.694610778,0.676646707,0.664670659,0.678642715
251,CiteSeer,3703,251,0.628742515,0.664670659,0.652694611,0.648702595
2665,CiteSeer,3703,2665,0.649700599,0.658682635,0.649700599,0.652694611
62,CiteSeer,3703,62,0.646706587,0.646706587,0.667664671,0.653692615
2821,CiteSeer,3703,2821,0.628742515,0.658682635,0.691616766,0.659680639
2135,CiteSeer,3703,2135,0.673652695,0.655688623,0.667664671,0.665668663
3582,CiteSeer,3703,3582,0.640718563,0.679640719,0.673652695,0.664670659
343,CiteSeer,3703,343,0.676646707,0.640718563,0.631736527,0.649700599
2618,CiteSeer,3703,2618,0.625748503,0.595808383,0.616766467,0.612774451
902,CiteSeer,3703,902,0.622754491,0.670658683,0.670658683,0.654690619
2492,CiteSeer,3703,2492,0.628742515,0.634730539,0.640718563,0.634730539
2773,CiteSeer,3703,2773,0.673652695,0.631736527,0.622754491,0.642714571
2455,CiteSeer,3703,2455,0.628742515,0.631736527,0.655688623,0.638722555
2923,CiteSeer,3703,2923,0.616766467,0.661676647,0.625748503,0.634730539
467,CiteSeer,3703,467,0.652694611,0.622754491,0.646706587,0.640718563
3020,CiteSeer,3703,3020,0.661676647,0.655688623,0.655688623,0.657684631
796,CiteSeer,3703,796,0.634730539,0.637724551,0.658682635,0.643712575
2231,CiteSeer,3703,2231,0.613772455,0.667664671,0.655688623,0.645708583
1923,CiteSeer,3703,1923,0.643712575,0.649700599,0.640718563,0.644710579
3375,CiteSeer,3703,3375,0.637724551,0.631736527,0.643712575,0.637724551
2853,CiteSeer,3703,2853,0.679640719,0.655688623,0.628742515,0.654690619
1213,CiteSeer,3703,1213,0.616766467,0.682634731,0.622754491,0.640718563
3522,CiteSeer,3703,3522,0.646706587,0.652694611,0.646706587,0.648702595
2001,CiteSeer,3703,2001,0.622754491,0.628742515,0.610778443,0.620758483
3190,CiteSeer,3703,3190,0.622754491,0.637724551,0.637724551,0.632734531
2592,CiteSeer,3703,2592,0.646706587,0.628742515,0.634730539,0.636726547
3442,CiteSeer,3703,3442,0.619760479,0.658682635,0.616766467,0.631736527
3332,CiteSeer,3703,3332,0.658682635,0.634730539,0.649700599,0.647704591
781,CiteSeer,3703,781,0.664670659,0.637724551,0.643712575,0.648702595
3306,CiteSeer,3703,3306,0.628742515,0.622754491,0.649700599,0.633732535
129,CiteSeer,3703,129,0.640718563,0.673652695,0.676646707,0.663672655
1201,CiteSeer,3703,1201,0.673652695,0.643712575,0.643712575,0.653692615
986,CiteSeer,3703,986,0.688622754,0.616766467,0.622754491,0.642714571
1041,CiteSeer,3703,1041,0.628742515,0.619760479,0.691616766,0.646706587
1351,CiteSeer,3703,1351,0.682634731,0.661676647,0.604790419,0.649700599
1101,CiteSeer,3703,1101,0.646706587,0.676646707,0.655688623,0.659680639
3689,CiteSeer,3703,3689,0.670658683,0.652694611,0.646706587,0.656686627
3058,CiteSeer,3703,3058,0.646706587,0.622754491,0.601796407,0.623752495
3474,CiteSeer,3703,3474,0.649700599,0.649700599,0.664670659,0.654690619
1090,CiteSeer,3703,1090,0.643712575,0.625748503,0.676646707,0.648702595
1267,CiteSeer,3703,1267,0.667664671,0.673652695,0.658682635,0.666666667
2212,CiteSeer,3703,2212,0.631736527,0.643712575,0.655688623,0.643712575
3633,CiteSeer,3703,3633,0.601796407,0.634730539,0.673652695,0.636726547
2106,CiteSeer,3703,2106,0.688622754,0.658682635,0.634730539,0.660678643
2571,CiteSeer,3703,2571,0.637724551,0.649700599,0.658682635,0.648702595
2924,CiteSeer,3703,2924,0.652694611,0.655688623,0.619760479,0.642714571
1974,CiteSeer,3703,1974,0.634730539,0.679640719,0.649700599,0.654690619
1688,CiteSeer,3703,1688,0.688622754,0.682634731,0.664670659,0.678642715
1429,CiteSeer,3703,1429,0.652694611,0.637724551,0.649700599,0.646706587
2968,CiteSeer,3703,2968,0.637724551,0.649700599,0.655688623,0.647704591
1461,CiteSeer,3703,1461,0.664670659,0.640718563,0.619760479,0.641716567
3648,CiteSeer,3703,3648,0.646706587,0.625748503,0.643712575,0.638722555
78,CiteSeer,3703,78,0.622754491,0.622754491,0.640718563,0.628742515
1599,CiteSeer,3703,1599,0.640718563,0.661676647,0.619760479,0.640718563
3209,CiteSeer,3703,3209,0.655688623,0.637724551,0.604790419,0.632734531
543,CiteSeer,3703,543,0.598802395,0.646706587,0.631736527,0.625748503
1130,CiteSeer,3703,1130,0.661676647,0.628742515,0.637724551,0.642714571
890,CiteSeer,3703,890,0.679640719,0.673652695,0.640718563,0.664670659
1770,CiteSeer,3703,1770,0.661676647,0.625748503,0.631736527,0.639720559
2195,CiteSeer,3703,2195,0.655688623,0.655688623,0.673652695,0.661676647
484,CiteSeer,3703,484,0.649700599,0.664670659,0.655688623,0.656686627
2511,CiteSeer,3703,2511,0.658682635,0.643712575,0.655688623,0.652694611
2525,CiteSeer,3703,2525,0.637724551,0.643712575,0.676646707,0.652694611
1182,CiteSeer,3703,1182,0.643712575,0.646706587,0.658682635,0.649700599
1755,CiteSeer,3703,1755,0.658682635,0.688622754,0.661676647,0.669660679
2532,CiteSeer,3703,2532,0.652694611,0.673652695,0.652694611,0.659680639
3498,CiteSeer,3703,3498,0.616766467,0.652694611,0.628742515,0.632734531
1317,CiteSeer,3703,1317,0.646706587,0.706586826,0.631736527,0.661676647
2884,CiteSeer,3703,2884,0.637724551,0.643712575,0.625748503,0.635728543
3245,CiteSeer,3703,3245,0.601796407,0.652694611,0.673652695,0.642714571
3370,CiteSeer,3703,3370,0.649700599,0.658682635,0.643712575,0.650698603
900,CiteSeer,3703,900,0.661676647,0.694610778,0.637724551,0.664670659
266,CiteSeer,3703,266,0.625748503,0.616766467,0.646706587,0.629740519
2807,CiteSeer,3703,2807,0.637724551,0.661676647,0.661676647,0.653692615
