,DataSet,TotalFeat,Range,Round 1,Round 2,Round 3,Average
143,Cora,1433,143,0.768382353,0.830882353,0.794117647,0.797794118
1397,Cora,1433,1397,0.772058824,0.808823529,0.834558824,0.805147059
487,Cora,1433,487,0.827205882,0.790441176,0.797794118,0.805147059
607,Cora,1433,607,0.816176471,0.786764706,0.816176471,0.806372549
949,Cora,1433,949,0.786764706,0.8125,0.834558824,0.81127451
1165,Cora,1433,1165,0.764705882,0.805147059,0.805147059,0.791666667
754,Cora,1433,754,0.801470588,0.834558824,0.801470588,0.8125
852,Cora,1433,852,0.808823529,0.827205882,0.797794118,0.81127451
531,Cora,1433,531,0.797794118,0.805147059,0.768382353,0.790441176
989,Cora,1433,989,0.808823529,0.790441176,0.830882353,0.81004902
802,Cora,1433,802,0.830882353,0.823529412,0.786764706,0.81372549
131,Cora,1433,131,0.823529412,0.823529412,0.783088235,0.81004902
5,Cora,1433,5,0.801470588,0.805147059,0.797794118,0.801470588
861,Cora,1433,861,0.801470588,0.797794118,0.790441176,0.796568627
127,Cora,1433,127,0.786764706,0.805147059,0.808823529,0.800245098
194,Cora,1433,194,0.8125,0.783088235,0.805147059,0.800245098
1038,Cora,1433,1038,0.838235294,0.834558824,0.823529412,0.832107843
253,Cora,1433,253,0.8125,0.801470588,0.849264706,0.821078431
329,Cora,1433,329,0.823529412,0.819852941,0.779411765,0.807598039
1299,Cora,1433,1299,0.823529412,0.786764706,0.819852941,0.81004902
1422,Cora,1433,1422,0.827205882,0.794117647,0.801470588,0.807598039
75,Cora,1433,75,0.779411765,0.783088235,0.779411765,0.780637255
643,Cora,1433,643,0.768382353,0.797794118,0.805147059,0.790441176
979,Cora,1433,979,0.808823529,0.805147059,0.816176471,0.81004902
679,Cora,1433,679,0.797794118,0.808823529,0.786764706,0.797794118
909,Cora,1433,909,0.863970588,0.805147059,0.790441176,0.819852941
638,Cora,1433,638,0.816176471,0.834558824,0.794117647,0.81495098
1219,Cora,1433,1219,0.801470588,0.786764706,0.775735294,0.787990196
777,Cora,1433,777,0.775735294,0.8125,0.849264706,0.8125
893,Cora,1433,893,0.808823529,0.8125,0.794117647,0.805147059
26,Cora,1433,26,0.801470588,0.823529412,0.819852941,0.81495098
418,Cora,1433,418,0.801470588,0.790441176,0.838235294,0.81004902
926,Cora,1433,926,0.768382353,0.783088235,0.775735294,0.775735294
649,Cora,1433,649,0.830882353,0.797794118,0.794117647,0.807598039
270,Cora,1433,270,0.786764706,0.808823529,0.772058824,0.789215686
1134,Cora,1433,1134,0.823529412,0.823529412,0.819852941,0.822303922
235,Cora,1433,235,0.801470588,0.834558824,0.794117647,0.81004902
102,Cora,1433,102,0.801470588,0.8125,0.786764706,0.800245098
330,Cora,1433,330,0.779411765,0.801470588,0.8125,0.797794118
1089,Cora,1433,1089,0.764705882,0.790441176,0.794117647,0.783088235
117,Cora,1433,117,0.790441176,0.808823529,0.757352941,0.785539216
347,Cora,1433,347,0.764705882,0.783088235,0.805147059,0.784313725
1375,Cora,1433,1375,0.819852941,0.816176471,0.805147059,0.81372549
615,Cora,1433,615,0.805147059,0.775735294,0.805147059,0.795343137
507,Cora,1433,507,0.805147059,0.797794118,0.801470588,0.801470588
332,Cora,1433,332,0.808823529,0.794117647,0.819852941,0.807598039
739,Cora,1433,739,0.768382353,0.805147059,0.783088235,0.785539216
236,Cora,1433,236,0.794117647,0.801470588,0.801470588,0.799019608
1137,Cora,1433,1137,0.790441176,0.827205882,0.790441176,0.802696078
1002,Cora,1433,1002,0.768382353,0.801470588,0.8125,0.794117647
305,Cora,1433,305,0.783088235,0.808823529,0.816176471,0.802696078
345,Cora,1433,345,0.808823529,0.808823529,0.783088235,0.800245098
1116,Cora,1433,1116,0.783088235,0.823529412,0.805147059,0.803921569
933,Cora,1433,933,0.786764706,0.8125,0.805147059,0.801470588
708,Cora,1433,708,0.819852941,0.786764706,0.8125,0.806372549
600,Cora,1433,600,0.841911765,0.830882353,0.834558824,0.835784314
799,Cora,1433,799,0.830882353,0.8125,0.783088235,0.808823529
304,Cora,1433,304,0.794117647,0.834558824,0.790441176,0.806372549
436,Cora,1433,436,0.827205882,0.808823529,0.808823529,0.81495098
746,Cora,1433,746,0.797794118,0.830882353,0.823529412,0.817401961
1079,Cora,1433,1079,0.808823529,0.801470588,0.794117647,0.801470588
382,Cora,1433,382,0.819852941,0.808823529,0.827205882,0.818627451
550,Cora,1433,550,0.827205882,0.790441176,0.786764706,0.801470588
272,Cora,1433,272,0.801470588,0.772058824,0.819852941,0.797794118
891,Cora,1433,891,0.808823529,0.790441176,0.827205882,0.808823529
1275,Cora,1433,1275,0.786764706,0.794117647,0.794117647,0.791666667
608,Cora,1433,608,0.801470588,0.834558824,0.801470588,0.8125
457,Cora,1433,457,0.808823529,0.841911765,0.823529412,0.824754902
93,Cora,1433,93,0.805147059,0.794117647,0.838235294,0.8125
275,Cora,1433,275,0.786764706,0.8125,0.808823529,0.802696078
1329,Cora,1433,1329,0.783088235,0.786764706,0.779411765,0.783088235
498,Cora,1433,498,0.819852941,0.805147059,0.797794118,0.807598039
1384,Cora,1433,1384,0.786764706,0.823529412,0.797794118,0.802696078
1318,Cora,1433,1318,0.783088235,0.819852941,0.808823529,0.803921569
451,Cora,1433,451,0.801470588,0.801470588,0.764705882,0.789215686
144,Cora,1433,144,0.808823529,0.808823529,0.775735294,0.797794118
42,Cora,1433,42,0.816176471,0.786764706,0.790441176,0.797794118
1432,Cora,1433,1432,0.849264706,0.797794118,0.805147059,0.817401961
70,Cora,1433,70,0.8125,0.768382353,0.801470588,0.794117647
1227,Cora,1433,1227,0.816176471,0.805147059,0.819852941,0.81372549
